+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                           ;
+---------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                       ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; cir                                                                             ; 64    ; 16             ; 16           ; 16             ; 32     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; r2h                                                                             ; 35    ; 10             ; 0            ; 10             ; 32     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u1                                                                              ; 33    ; 0              ; 1            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u8|u0                                                                           ; 35    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; u8                                                                              ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read2_fifo|dcfifo_mixed_widths_component|auto_generated|cntr_b             ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read2_fifo|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp     ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read2_fifo|dcfifo_mixed_widths_component|auto_generated|rdempty_eq_comp    ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read2_fifo|dcfifo_mixed_widths_component|auto_generated|ws_dgrp|dffpipe15  ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read2_fifo|dcfifo_mixed_widths_component|auto_generated|ws_dgrp            ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read2_fifo|dcfifo_mixed_widths_component|auto_generated|ws_bwp             ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read2_fifo|dcfifo_mixed_widths_component|auto_generated|ws_brp             ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read2_fifo|dcfifo_mixed_widths_component|auto_generated|rs_dgwp|dffpipe12  ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read2_fifo|dcfifo_mixed_widths_component|auto_generated|rs_dgwp            ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read2_fifo|dcfifo_mixed_widths_component|auto_generated|fifo_ram           ; 55    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read2_fifo|dcfifo_mixed_widths_component|auto_generated|wrptr_g1p          ; 3     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read2_fifo|dcfifo_mixed_widths_component|auto_generated|rdptr_g1p          ; 3     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read2_fifo|dcfifo_mixed_widths_component|auto_generated|ws_dgrp_gray2bin   ; 9     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read2_fifo|dcfifo_mixed_widths_component|auto_generated|wrptr_g_gray2bin   ; 9     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read2_fifo|dcfifo_mixed_widths_component|auto_generated                    ; 37    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read2_fifo                                                                 ; 37    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read1_fifo|dcfifo_mixed_widths_component|auto_generated|cntr_b             ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read1_fifo|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp     ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read1_fifo|dcfifo_mixed_widths_component|auto_generated|rdempty_eq_comp    ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read1_fifo|dcfifo_mixed_widths_component|auto_generated|ws_dgrp|dffpipe15  ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read1_fifo|dcfifo_mixed_widths_component|auto_generated|ws_dgrp            ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read1_fifo|dcfifo_mixed_widths_component|auto_generated|ws_bwp             ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read1_fifo|dcfifo_mixed_widths_component|auto_generated|ws_brp             ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read1_fifo|dcfifo_mixed_widths_component|auto_generated|rs_dgwp|dffpipe12  ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read1_fifo|dcfifo_mixed_widths_component|auto_generated|rs_dgwp            ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read1_fifo|dcfifo_mixed_widths_component|auto_generated|fifo_ram           ; 55    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read1_fifo|dcfifo_mixed_widths_component|auto_generated|wrptr_g1p          ; 3     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read1_fifo|dcfifo_mixed_widths_component|auto_generated|rdptr_g1p          ; 3     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read1_fifo|dcfifo_mixed_widths_component|auto_generated|ws_dgrp_gray2bin   ; 9     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read1_fifo|dcfifo_mixed_widths_component|auto_generated|wrptr_g_gray2bin   ; 9     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read1_fifo|dcfifo_mixed_widths_component|auto_generated                    ; 37    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_read1_fifo                                                                 ; 37    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write2_fifo|dcfifo_mixed_widths_component|auto_generated|cntr_b            ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write2_fifo|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp    ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write2_fifo|dcfifo_mixed_widths_component|auto_generated|rdempty_eq_comp   ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write2_fifo|dcfifo_mixed_widths_component|auto_generated|ws_dgrp|dffpipe16 ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write2_fifo|dcfifo_mixed_widths_component|auto_generated|ws_dgrp           ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write2_fifo|dcfifo_mixed_widths_component|auto_generated|rs_dgwp|dffpipe13 ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write2_fifo|dcfifo_mixed_widths_component|auto_generated|rs_dgwp           ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write2_fifo|dcfifo_mixed_widths_component|auto_generated|rs_bwp            ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write2_fifo|dcfifo_mixed_widths_component|auto_generated|rs_brp            ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write2_fifo|dcfifo_mixed_widths_component|auto_generated|fifo_ram          ; 39    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write2_fifo|dcfifo_mixed_widths_component|auto_generated|wrptr_g1p         ; 3     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write2_fifo|dcfifo_mixed_widths_component|auto_generated|rdptr_g1p         ; 3     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write2_fifo|dcfifo_mixed_widths_component|auto_generated|rs_dgwp_gray2bin  ; 9     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write2_fifo|dcfifo_mixed_widths_component|auto_generated|rdptr_g_gray2bin  ; 9     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write2_fifo|dcfifo_mixed_widths_component|auto_generated                   ; 21    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write2_fifo                                                                ; 21    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write1_fifo|dcfifo_mixed_widths_component|auto_generated|cntr_b            ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write1_fifo|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp    ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write1_fifo|dcfifo_mixed_widths_component|auto_generated|rdempty_eq_comp   ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write1_fifo|dcfifo_mixed_widths_component|auto_generated|ws_dgrp|dffpipe16 ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write1_fifo|dcfifo_mixed_widths_component|auto_generated|ws_dgrp           ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write1_fifo|dcfifo_mixed_widths_component|auto_generated|rs_dgwp|dffpipe13 ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write1_fifo|dcfifo_mixed_widths_component|auto_generated|rs_dgwp           ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write1_fifo|dcfifo_mixed_widths_component|auto_generated|rs_bwp            ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write1_fifo|dcfifo_mixed_widths_component|auto_generated|rs_brp            ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write1_fifo|dcfifo_mixed_widths_component|auto_generated|fifo_ram          ; 39    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write1_fifo|dcfifo_mixed_widths_component|auto_generated|wrptr_g1p         ; 3     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write1_fifo|dcfifo_mixed_widths_component|auto_generated|rdptr_g1p         ; 3     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write1_fifo|dcfifo_mixed_widths_component|auto_generated|rs_dgwp_gray2bin  ; 9     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write1_fifo|dcfifo_mixed_widths_component|auto_generated|rdptr_g_gray2bin  ; 9     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write1_fifo|dcfifo_mixed_widths_component|auto_generated                   ; 21    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_write1_fifo                                                                ; 21    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_sdr_data_path                                                              ; 38    ; 4              ; 0            ; 4              ; 36     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_command                                                                    ; 35    ; 0              ; 2            ; 0              ; 23     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7|u_control_interface                                                          ; 30    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u7                                                                              ; 263   ; 233            ; 1            ; 233            ; 56     ; 233             ; 233           ; 233             ; 32    ; 0              ; 0            ; 0                ; 0                 ;
; u6|altpll_component|auto_generated                                              ; 2     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u6                                                                              ; 1     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u5|u7                                                                           ; 4     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u5|u6                                                                           ; 4     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u5|u5                                                                           ; 4     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u5|u4                                                                           ; 4     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u5|u3                                                                           ; 4     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u5|u2                                                                           ; 4     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u5|u1                                                                           ; 4     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u5|u0                                                                           ; 4     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u5                                                                              ; 32    ; 0              ; 0            ; 0              ; 56     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u4|u0|altshift_taps_component|auto_generated|cntr1|cmpr4                        ; 22    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u4|u0|altshift_taps_component|auto_generated|cntr1                              ; 2     ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u4|u0|altshift_taps_component|auto_generated|altsyncram2                        ; 49    ; 1              ; 0            ; 1              ; 24     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u4|u0|altshift_taps_component|auto_generated                                    ; 14    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u4|u0                                                                           ; 14    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u4                                                                              ; 37    ; 0              ; 20           ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u3                                                                              ; 18    ; 0              ; 0            ; 0              ; 78     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u2                                                                              ; 2     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+---------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
